species,location,time,description of bird,sex,feather color,activity_period,back_color,behavior,bill_color,bill_length,bill_shape,body_color,breast_color,cap_color,cheek_color,chest_color,chin_color,collar_color,crest_color,crown_color,eye_color,face_color,feeding_behavior,flight_style,foot_color,habitat_preference,head_color,head_marking,head_ornament,height,leg_color,leg_covering,leg_length,locomotion,nape_color,neck_color,neck_length,plumage_color,plumage_finish,plumage_pattern,rump_color,shoulder_color,side_color,size,tail_color,tail_length,tail_shape,throat_color,underparts_color,underwing_color,upperparts_color,vocalization,wing_color,wingtip_color
Northern Flicker,United States,05-08-2003 09:55,"A medium-sized woodpecker with a brown plumage, a distinctive black crescent on its chest, and a loud ""wick-a-wick-a-wick"" call",Unknown,Brown and Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,medium,,,,,,,,call,,
Ruby-throated Hummingbird,United States,07-09-2011 12:10,"A small hummingbird with a green plumage, a distinctive ruby-red throat",Male,Green and Ruby-red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,green,,,,,,small,,,,red,,,,,,
Downy Woodpecker,United States,15-08-2010 14:35,A small woodpecker with a black-and-white plumage and a small bill,Unknown,Black and White,,,,,short,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|white,,,,,,small,,,,,,,,,,
American Robin,United States,22-08-2002 16:55,A medium-sized thrush with a grayish-brown plumage,Male,Grayish-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray_brown,,,,,,medium,,,,,,,,,,
American Crow,United States,07-09-2011 09:55,"A medium-sized bird with a black plumage and a distinctive ""caw-caw"" call",Unknown,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,,medium,,,,,,,,call,,
American Goldfinch,United States,23-08-2010 12:30,A small finch with a bright yellow plumage,Male,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow,,,,,,small,,,,,,,,,,
Blue Jay,United States,26-05-2002 14:35,A medium-sized bird with a blue plumage and a distinctive crest,Unknown,Blue,,,,,,,,,,,,,,,,,,,,,,,,crest,,,,,,,,,blue,,,,,,medium,,,,,,,,,,
Northern Flicker,United States,27-08-2011 16:55,"A medium-sized woodpecker with a brown plumage, a distinctive black crescent on its chest, and a loud ""wick-a-wick-a-wick"" call",Unknown,Brown and Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,medium,,,,,,,,call,,
Ruby-throated Hummingbird,United States,05-07-2010 09:55,"A small hummingbird with a green plumage, a distinctive ruby-red throat",Male,Green and Ruby-red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,green,,,,,,small,,,,red,,,,,,
Brown-headed Cowbird,United States,07-08-2002 12:10,A medium-sized blackbird with a brown plumage and a habit of laying its eggs in the nests of other bird species,Unknown,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,medium,,,,,,,,,,
Yellow Warbler,United States,31-08-2011 14:35,A small warbler with a yellow plumage,Male,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow,,,,,,small,,,,,,,,,,
Eastern Towhee,United States,03-09-2010 16:55,A medium-sized bird with a black-and-rufous plumage,Male,Black and Rufous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|rufous,,,,,,medium,,,,,,,,,,
Chipping Sparrow,United States,09-06-2002 09:55,A small sparrow with a brownish plumage and a distinctive trilling song,Male,Brownish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,small,,,,,,,,song,,
Black-capped Chickadee,United States,11-08-2011 12:10,"A small songbird with a black cap, a white cheek, and a cheerful ""chick-a-dee-dee-dee"" call",Unknown,Black and White,,,,,,,,,black,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small,,,,,,,,call,,
Scarlet Tanager,United States,18-09-2010 14:35,A medium-sized songbird with a red plumage,Male,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red,,,,,,medium,,,,,,,,,,
Common Raven,United States,21-05-2002 16:55,A large bird with a black plumage and a distinctive croaking call,Unknown,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,,large,,,,,,,,call,,
Eastern Meadowlark,United States,29-08-2011 09:55,A medium-sized blackbird with a yellow plumage and a distinctive flute-like song,Male,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow,,,,,,medium,,,,,,,,song,,
American Goldfinch,United States,10-07-2010 12:30,A small finch with a bright yellow plumage,Male,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow,,,,,,small,,,,,,,,,,
Blue Jay,United States,14-08-2002 14:35,A medium-sized bird with a blue plumage and a distinctive crest,Unknown,Blue,,,,,,,,,,,,,,,,,,,,,,,,crest,,,,,,,,,blue,,,,,,medium,,,,,,,,,,
Northern Flicker,United States,03-09-2011 16:55,"A medium-sized woodpecker with a brown plumage, a distinctive black crescent on its chest, and a loud ""wick-a-wick-a-wick"" call",Unknown,Brown and Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,medium,,,,,,,,call,,
Ruby-throated Hummingbird,United States,17-08-2010 09:55,"A small hummingbird with a green plumage, a distinctive ruby-red throat",Male,Green and Ruby-red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,green,,,,,,small,,,,red,,,,,,
Downy Woodpecker,United States,18-05-2002 12:10,A small woodpecker with a black-and-white plumage and a small bill,Unknown,Black and White,,,,,short,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|white,,,,,,small,,,,,,,,,,
American Robin,United States,07-09-2011 14:35,A medium-sized thrush with a grayish-brown plumage,Male,Grayish-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray_brown,,,,,,medium,,,,,,,,,,
American Crow,United States,23-08-2010 16:55,"A medium-sized bird with a black plumage and a distinctive ""caw-caw"" call",Unknown,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,,medium,,,,,,,,call,,
American Goldfinch,United States,26-06-2002 09:55,A small finch with a bright yellow plumage,Male,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow,,,,,,small,,,,,,,,,,
Blue Jay,United States,29-08-2011 12:10,A medium-sized bird with a blue plumage and a distinctive crest,Unknown,Blue,,,,,,,,,,,,,,,,,,,,,,,,crest,,,,,,,,,blue,,,,,,medium,,,,,,,,,,
Northern Flicker,United States,02-09-2010 14:35,"A medium-sized woodpecker with a brown plumage, a distinctive black crescent on its chest, and a loud ""wick-a-wick-a-wick"" call",Unknown,Brown and Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,medium,,,,,,,,call,,
Ruby-throated Hummingbird,United States,08-07-2002 16:55,"A small hummingbird with a green plumage, a distinctive ruby-red throat",Male,Green and Ruby-red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,green,,,,,,small,,,,red,,,,,,
Brown-headed Cowbird,United States,14-08-2011 09:55,A medium-sized blackbird with a brown plumage and a habit of laying its eggs in the nests of other bird species,Unknown,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,medium,,,,,,,,,,
Yellow Warbler,United States,23-07-2010 12:30,A small warbler with a yellow plumage,Male,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow,,,,,,small,,,,,,,,,,
Eastern Towhee,United States,26-08-2002 14:35,A medium-sized bird with a black-and-rufous plumage,Male,Black and Rufous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|rufous,,,,,,medium,,,,,,,,,,
Chipping Sparrow,United States,28-08-2011 16:55,A small sparrow with a brownish plumage and a distinctive trilling song,Male,Brownish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,small,,,,,,,,song,,
Black-capped Chickadee,United States,30-07-2010 09:55,"A small songbird with a black cap, a white cheek, and a cheerful ""chick-a-dee-dee-dee"" call",Unknown,Black and White,,,,,,,,,black,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small,,,,,,,,call,,
Scarlet Tanager,United States,02-05-2002 12:10,A medium-sized songbird with a red plumage,Male,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red,,,,,,medium,,,,,,,,,,
Common Raven,United States,09-08-2011 14:35,A large bird with a black plumage and a distinctive croaking call,Unknown,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,,large,,,,,,,,call,,
Eastern Meadowlark,United States,11-07-2010 16:55,A medium-sized blackbird with a yellow plumage and a distinctive flute-like song,Male,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow,,,,,,medium,,,,,,,,song,,
American Goldfinch,United States,16-08-2002 09:55,A small finch with a bright yellow plumage,Male,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow,,,,,,small,,,,,,,,,,
Blue Jay,United States,19-08-2011 12:10,A medium-sized bird with a blue plumage and a distinctive crest,Unknown,Blue,,,,,,,,,,,,,,,,,,,,,,,,crest,,,,,,,,,blue,,,,,,medium,,,,,,,,,,
Northern Flicker,United States,18-09-2010 14:35,"A medium-sized woodpecker with a brown plumage, a distinctive black crescent on its chest, and a loud ""wick-a-wick-a-wick"" call",Unknown,Brown and Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,medium,,,,,,,,call,,
Ruby-throated Hummingbird,United States,19-07-2002 16:55,"A small hummingbird with a green plumage, a distinctive ruby-red throat",Male,Green and Ruby-red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,green,,,,,,small,,,,red,,,,,,
Downy Woodpecker,United States,27-08-2011 09:55,A small woodpecker with a black-and-white plumage and a small bill,Unknown,Black and White,,,,,short,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|white,,,,,,small,,,,,,,,,,
American Robin,United States,29-09-2010 12:30,A medium-sized thrush with a grayish-brown plumage,Male,Grayish-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray_brown,,,,,,medium,,,,,,,,,,
American Crow,United States,29-05-2002 14:35,"A medium-sized bird with a black plumage and a distinctive ""caw-caw"" call",Unknown,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,,medium,,,,,,,,call,,
American Goldfinch,United States,31-08-2011 16:55,A small finch with a bright yellow plumage,Male,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow,,,,,,small,,,,,,,,,,
Blue Jay,United States,12-09-2010 09:55,A medium-sized bird with a blue plumage and a distinctive crest,Unknown,Blue,,,,,,,,,,,,,,,,,,,,,,,,crest,,,,,,,,,blue,,,,,,medium,,,,,,,,,,
Northern Flicker,United States,13-07-2002 12:10,"A medium-sized woodpecker with a brown plumage, a distinctive black crescent on its chest, and a loud ""wick-a-wick-a-wick"" call",Unknown,Brown and Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,medium,,,,,,,,call,,
Ruby-throated Hummingbird,United States,16-09-2011 14:35,"A small hummingbird with a green plumage, a distinctive ruby-red throat",Male,Green and Ruby-red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,green,,,,,,small,,,,red,,,,,,
Downy Woodpecker,United States,23-07-2010 16:55,A small woodpecker with a black-and-white plumage and a small bill,Unknown,Black and White,,,,,short,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|white,,,,,,small,,,,,,,,,,
American Robin,United States,28-08-2002 09:55,A medium-sized thrush with a grayish-brown plumage,Male,Grayish-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray_brown,,,,,,medium,,,,,,,,,,
American Crow,United States,15-09-2011 12:30,"A medium-sized bird with a black plumage and a distinctive ""caw-caw"" call",Unknown,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,,medium,,,,,,,,call,,
American Goldfinch,United States,26-07-2010 14:35,A small finch with a bright yellow plumage,Male,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow,,,,,,small,,,,,,,,,,
Blue Jay,United States,03-07-2002 16:55,A medium-sized bird with a blue plumage and a distinctive crest,Unknown,Blue,,,,,,,,,,,,,,,,,,,,,,,,crest,,,,,,,,,blue,,,,,,medium,,,,,,,,,,
Northern Flicker,United States,31-08-2011 09:55,"A medium-sized woodpecker with a brown plumage, a distinctive black crescent on its chest, and a loud ""wick-a-wick-a-wick"" call",Unknown,Brown and Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,medium,,,,,,,,call,,
Ruby-throated Hummingbird,United States,03-09-2010 12:10,"A small hummingbird with a green plumage, a distinctive ruby-red throat",Male,Green and Ruby-red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,green,,,,,,small,,,,red,,,,,,
Downy Woodpecker,United States,06-05-2002 14:35,A small woodpecker with a black-and-white plumage and a small bill,Unknown,Black and White,,,,,short,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|white,,,,,,small,,,,,,,,,,
American Robin,United States,09-08-2011 16:55,A medium-sized thrush with a grayish-brown plumage,Male,Grayish-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray_brown,,,,,,medium,,,,,,,,,,
American Crow,United States,12-09-2010 09:55,"A medium-sized bird with a black plumage and a distinctive ""caw-caw"" call",Unknown,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,,medium,,,,,,,,call,,
American Goldfinch,United States,19-07-2002 12:30,A small finch with a bright yellow plumage,Male,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow,,,,,,small,,,,,,,,,,
Blue Jay,United States,27-08-2011 14:35,A medium-sized bird with a blue plumage and a distinctive crest,Unknown,Blue,,,,,,,,,,,,,,,,,,,,,,,,crest,,,,,,,,,blue,,,,,,medium,,,,,,,,,,
Northern Flicker,United States,18-09-2010 16:55,"A medium-sized woodpecker with a brown plumage, a distinctive black crescent on its chest, and a loud ""wick-a-wick-a-wick"" call",Unknown,Brown and Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,medium,,,,,,,,call,,
Ruby-throated Hummingbird,United States,31-07-2002 09:55,"A small hummingbird with a green plumage, a distinctive ruby-red throat",Male,Green and Ruby-red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,green,,,,,,small,,,,red,,,,,,
Downy Woodpecker,United States,10-08-2011 12:10,A small woodpecker with a black-and-white plumage and a small bill,Unknown,Black and White,,,,,short,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|white,,,,,,small,,,,,,,,,,
American Robin,United States,22-09-2010 14:35,A medium-sized thrush with a grayish-brown plumage,Male,Grayish-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray_brown,,,,,,medium,,,,,,,,,,
American Crow,United States,29-08-2002 16:55,"A medium-sized bird with a black plumage and a distinctive ""caw-caw"" call",Unknown,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,,medium,,,,,,,,call,,
American Goldfinch,United States,15-08-2011 09:55,A small finch with a bright yellow plumage,Male,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow,,,,,,small,,,,,,,,,,
Blue Jay,United States,28-09-2010 12:30,A medium-sized bird with a blue plumage and a distinctive crest,Unknown,Blue,,,,,,,,,,,,,,,,,,,,,,,,crest,,,,,,,,,blue,,,,,,medium,,,,,,,,,,
Northern Flicker,United States,06-07-2002 14:35,"A medium-sized woodpecker with a brown plumage, a distinctive black crescent on its chest, and a loud ""wick-a-wick-a-wick"" call",Unknown,Brown and Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,medium,,,,,,,,call,,
Ruby-throated Hummingbird,United States,14-08-2011 16:55,"A small hummingbird with a green plumage, a distinctive ruby-red throat",Male,Green and Ruby-red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,green,,,,,,small,,,,red,,,,,,
Downy Woodpecker,United States,17-09-2010 09:55,A small woodpecker with a black-and-white plumage and a small bill,Unknown,Black and White,,,,,short,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|white,,,,,,small,,,,,,,,,,
American Robin,United States,21-07-2002 12:10,A medium-sized thrush with a grayish-brown plumage,Male,Grayish-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray_brown,,,,,,medium,,,,,,,,,,
American Crow,United States,19-08-2011 14:35,"A medium-sized bird with a black plumage and a distinctive ""caw-caw"" call",Unknown,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,,medium,,,,,,,,call,,
American Goldfinch,United States,30-08-2010 16:55,A small finch with a bright yellow plumage,Male,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow,,,,,,small,,,,,,,,,,
Blue Jay,United States,02-09-2002 09:55,A medium-sized bird with a blue plumage and a distinctive crest,Unknown,Blue,,,,,,,,,,,,,,,,,,,,,,,,crest,,,,,,,,,blue,,,,,,medium,,,,,,,,,,
Northern Flicker,United States,29-08-2011 12:10,"A medium-sized woodpecker with a brown plumage, a distinctive black crescent on its chest, and a loud ""wick-a-wick-a-wick"" call",Unknown,Brown and Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,medium,,,,,,,,call,,
Ruby-throated Hummingbird,United States,10-09-2010 14:35,"A small hummingbird with a green plumage, a distinctive ruby-red throat",Male,Green and Ruby-red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,green,,,,,,small,,,,red,,,,,,
Downy Woodpecker,United States,14-07-2002 16:55,A small woodpecker with a black-and-white plumage and a small bill,Unknown,Black and White,,,,,short,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|white,,,,,,small,,,,,,,,,,
American Robin,United States,19-08-2011 09:55,A medium-sized thrush with a grayish-brown plumage,Male,Grayish-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray_brown,,,,,,medium,,,,,,,,,,
American Crow,United States,22-09-2010 12:30,"A medium-sized bird with a black plumage and a distinctive ""caw-caw"" call",Unknown,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,,medium,,,,,,,,call,,
American Goldfinch,United States,29-08-2002 14:35,A small finch with a bright yellow plumage,Male,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow,,,,,,small,,,,,,,,,,
Blue Jay,United States,01-09-2011 16:55,A medium-sized bird with a blue plumage and a distinctive crest,Unknown,Blue,,,,,,,,,,,,,,,,,,,,,,,,crest,,,,,,,,,blue,,,,,,medium,,,,,,,,,,
Northern Flicker,United States,03-09-2010 09:55,"A medium-sized woodpecker with a brown plumage, a distinctive black crescent on its chest, and a loud ""wick-a-wick-a-wick"" call",Unknown,Brown and Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,medium,,,,,,,,call,,
Ruby-throated Hummingbird,United States,05-07-2002 12:10,"A small hummingbird with a green plumage, a distinctive ruby-red throat",Male,Green and Ruby-red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,green,,,,,,small,,,,red,,,,,,
Downy Woodpecker,United States,06-08-2011 14:35,A small woodpecker with a black-and-white plumage and a small bill,Unknown,Black and White,,,,,short,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|white,,,,,,small,,,,,,,,,,
American Robin,United States,09-09-2010 16:55,A medium-sized thrush with a grayish-brown plumage,Male,Grayish-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray_brown,,,,,,medium,,,,,,,,,,
American Crow,United States,10-08-2002 09:55,"A medium-sized bird with a black plumage and a distinctive ""caw-caw"" call",Unknown,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,,medium,,,,,,,,call,,
American Goldfinch,United States,14-08-2011 12:30,A small finch with a bright yellow plumage,Male,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow,,,,,,small,,,,,,,,,,
Blue Jay,United States,21-09-2010 14:35,A medium-sized bird with a blue plumage and a distinctive crest,Unknown,Blue,,,,,,,,,,,,,,,,,,,,,,,,crest,,,,,,,,,blue,,,,,,medium,,,,,,,,,,
Northern Flicker,United States,23-07-2002 16:55,"A medium-sized woodpecker with a brown plumage, a distinctive black crescent on its chest, and a loud ""wick-a-wick-a-wick"" call",Unknown,Brown and Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,medium,,,,,,,,call,,
Ruby-throated Hummingbird,United States,29-08-2011 09:55,"A small hummingbird with a green plumage, a distinctive ruby-red throat",Male,Green and Ruby-red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,green,,,,,,small,,,,red,,,,,,
Downy Woodpecker,United States,01-08-2010 12:10,A small woodpecker with a black-and-white plumage and a small bill,Unknown,Black and White,,,,,short,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|white,,,,,,small,,,,,,,,,,
American Robin,United States,07-07-2002 14:35,A medium-sized thrush with a grayish-brown plumage,Male,Grayish-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray_brown,,,,,,medium,,,,,,,,,,
American Crow,United States,11-08-2011 16:55,"A medium-sized bird with a black plumage and a distinctive ""caw-caw"" call",Unknown,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,,medium,,,,,,,,call,,
American Goldfinch,United States,14-08-2010 09:55,A small finch with a bright yellow plumage,Male,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow,,,,,,small,,,,,,,,,,
Blue Jay,United States,16-07-2002 12:30,A medium-sized bird with a blue plumage and a distinctive crest,Unknown,Blue,,,,,,,,,,,,,,,,,,,,,,,,crest,,,,,,,,,blue,,,,,,medium,,,,,,,,,,
Northern Flicker,United States,19-08-2011 14:35,"A medium-sized woodpecker with a brown plumage, a distinctive black crescent on its chest, and a loud ""wick-a-wick-a-wick"" call",Unknown,Brown and Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,medium,,,,,,,,call,,
Ruby-throated Hummingbird,United States,26-08-2010 16:55,"A small hummingbird with a green plumage, a distinctive ruby-red throat",Male,Green and Ruby-red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,green,,,,,,small,,,,red,,,,,,
Downy Woodpecker,United States,30-07-2002 09:55,A small woodpecker with a black-and-white plumage and a small bill,Unknown,Black and White,,,,,short,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|white,,,,,,small,,,,,,,,,,
American Robin,United States,31-08-2011 12:10,A medium-sized thrush with a grayish-brown plumage,Male,Grayish-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray_brown,,,,,,medium,,,,,,,,,,
American Crow,United States,03-08-2010 14:35,"A medium-sized bird with a black plumage and a distinctive ""caw-caw"" call",Unknown,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,,medium,,,,,,,,call,,
American Goldfinch,United States,10-08-2002 16:55,A small finch with a bright yellow plumage,Male,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow,,,,,,small,,,,,,,,,,
Blue Jay,United States,14-08-2011 09:55,A medium-sized bird with a blue plumage and a distinctive crest,Unknown,Blue,,,,,,,,,,,,,,,,,,,,,,,,crest,,,,,,,,,blue,,,,,,medium,,,,,,,,,,
Northern Flicker,United States,21-08-2010 12:30,"A medium-sized woodpecker with a brown plumage, a distinctive black crescent on its chest, and a loud ""wick-a-wick-a-wick"" call",Unknown,Brown and Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,medium,,,,,,,,call,,
Ruby-throated Hummingbird,United States,01-09-2002 14:35,"A small hummingbird with a green plumage, a distinctive ruby-red throat",Male,Green and Ruby-red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,green,,,,,,small,,,,red,,,,,,
Downy Woodpecker,United States,27-08-2011 16:55,A small woodpecker with a black-and-white plumage and a small bill,Unknown,Black and White,,,,,short,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|white,,,,,,small,,,,,,,,,,
American Robin,United States,30-08-2010 09:55,A medium-sized thrush with a grayish-brown plumage,Male,Grayish-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray_brown,,,,,,medium,,,,,,,,,,
American Crow,United States,05-07-2002 12:10,"A medium-sized bird with a black plumage and a distinctive ""caw-caw"" call",Unknown,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,,medium,,,,,,,,call,,
American Goldfinch,United States,11-08-2011 14:35,A small finch with a bright yellow plumage,Male,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow,,,,,,small,,,,,,,,,,
Blue Jay,United States,14-08-2010 16:55,A medium-sized bird with a blue plumage and a distinctive crest,Unknown,Blue,,,,,,,,,,,,,,,,,,,,,,,,crest,,,,,,,,,blue,,,,,,medium,,,,,,,,,,
Northern Flicker,United States,17-07-2002 09:55,"A medium-sized woodpecker with a brown plumage, a distinctive black crescent on its chest, and a loud ""wick-a-wick-a-wick"" call",Unknown,Brown and Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,medium,,,,,,,,call,,
Ruby-throated Hummingbird,United States,20-08-2011 12:10,"A small hummingbird with a green plumage, a distinctive ruby-red throat",Male,Green and Ruby-red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,green,,,,,,small,,,,red,,,,,,
Downy Woodpecker,United States,23-08-2010 14:35,A small woodpecker with a black-and-white plumage and a small bill,Unknown,Black and White,,,,,short,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|white,,,,,,small,,,,,,,,,,
American Robin,United States,26-07-2002 16:55,A medium-sized thrush with a grayish-brown plumage,Male,Grayish-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray_brown,,,,,,medium,,,,,,,,,,
American Crow,United States,29-08-2011 09:55,"A medium-sized bird with a black plumage and a distinctive ""caw-caw"" call",Unknown,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,,medium,,,,,,,,call,,
American Goldfinch,United States,31-08-2010 12:30,A small finch with a bright yellow plumage,Male,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow,,,,,,small,,,,,,,,,,
Blue Jay,United States,07-08-2002 14:35,A medium-sized bird with a blue plumage and a distinctive crest,Unknown,Blue,,,,,,,,,,,,,,,,,,,,,,,,crest,,,,,,,,,blue,,,,,,medium,,,,,,,,,,
Northern Flicker,United States,12-08-2011 16:55,"A medium-sized woodpecker with a brown plumage, a distinctive black crescent on its chest, and a loud ""wick-a-wick-a-wick"" call",Unknown,Brown and Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,medium,,,,,,,,call,,
Ruby-throated Hummingbird,United States,15-08-2010 09:55,"A small hummingbird with a green plumage, a distinctive ruby-red throat",Male,Green and Ruby-red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,green,,,,,,small,,,,red,,,,,,
Downy Woodpecker,United States,25-08-2002 12:10,A small woodpecker with a black-and-white plumage and a small bill,Unknown,Black and White,,,,,short,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|white,,,,,,small,,,,,,,,,,
American Robin,United States,18-08-2011 14:35,A medium-sized thrush with a grayish-brown plumage,Male,Grayish-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray_brown,,,,,,medium,,,,,,,,,,
