species,location,time,description of bird,sex,feather color,,,,,,
Ruby-throated Hummingbird,United States,08-07-2002 16:55,A small hummingbird with a green plumage, a distinctive ruby-red throat,Male,Green and Ruby-red,,,,,
Brown-headed Cowbird,United States,14-08-2011 09:55,A medium-sized blackbird with a brown plumage and a habit of laying its eggs in the nests of other bird species,Unknown,Brown,,,,,,
Yellow Warbler,United States,23-07-2010 12:30,A small warbler with a yellow plumage,Male,Yellow,,,,,,
Eastern Towhee,United States,26-08-2002 14:35,A medium-sized bird with a black-and-rufous plumage,Male,Black and Rufous,,,,,,
Chipping Sparrow,United States,28-08-2011 16:55,A small sparrow with a brownish plumage and a distinctive trilling song,Male,Brownish,,,,,,
Black-capped Chickadee,United States,30-07-2010 09:55,A small songbird with a black cap, a white cheek," and a cheerful ""chick-a-dee-dee-dee"" call,Unknown,Black and White",Unknown,Black and White,,,,
Scarlet Tanager,United States,02-05-2002 12:10,A medium-sized songbird with a red plumage,Male,Red,,,,,,
Common Raven,United States,09-08-2011 14:35,A large bird with a black plumage and a distinctive croaking call,Unknown,Black,,,,,,
Eastern Meadowlark,United States,11-07-2010 16:55,A medium-sized blackbird with a yellow plumage and a distinctive flute-like song,Male,Yellow,,,,,,
American Goldfinch,United States,16-08-2002 09:55,A small finch with a bright yellow plumage,Male,Yellow,,,,,,
Blue Jay,United States,19-08-2011 12:10,A medium-sized bird with a blue plumage and a distinctive crest,Unknown,Blue,,,,,,
Northern Flicker,United States,18-09-2010 14:35,A medium-sized woodpecker with a brown plumage, a distinctive black crescent on its chest," and a loud ""wick-a-wick-a-wick"" call,Unknown,Brown and Black",Unknown,Brown and Black,,,,
Ruby-throated Hummingbird,United States,19-07-2002 16:55,A small hummingbird with a green plumage, a distinctive ruby-red throat,Male,Green and Ruby-red,,,,,
Downy Woodpecker,United States,27-08-2011 09:55,A small woodpecker with a black-and-white plumage and a small bill,Unknown,Black and White,,,,,,
American Robin,United States,29-09-2010 12:30,A medium-sized thrush with a grayish-brown plumage,Male,Grayish-brown,,,,,,
American Crow,United States,29-05-2002 14:35,"A medium-sized bird with a black plumage and a distinctive ""caw-caw"" call,Unknown,Black",Unknown,Black,,,,,,
American Goldfinch,United States,31-08-2011 16:55,A small finch with a bright yellow plumage,Male,Yellow,,,,,,
Blue Jay,United States,12-09-2010 09:55,A medium-sized bird with a blue plumage and a distinctive crest,Unknown,Blue,,,,,,
Northern Flicker,United States,13-07-2002 12:10,A medium-sized woodpecker with a brown plumage, a distinctive black crescent on its chest," and a loud ""wick-a-wick-a-wick"" call,Unknown,Brown and Black",Unknown,Brown and Black,,,,
Ruby-throated Hummingbird,United States,16-09-2011 14:35,A small hummingbird with a green plumage, a distinctive ruby-red throat,Male,Green and Ruby-red,,,,,
Downy Woodpecker,United States,23-07-2010 16:55,A small woodpecker with a black-and-white plumage and a small bill,Unknown,Black and White,,,,,,
American Robin,United States,28-08-2002 09:55,A medium-sized thrush with a grayish-brown plumage,Male,Grayish-brown,,,,,,
American Crow,United States,15-09-2011 12:30,"A medium-sized bird with a black plumage and a distinctive ""caw-caw"" call,Unknown,Black",Unknown,Black,,,,,,
American Goldfinch,United States,26-07-2010 14:35,A small finch with a bright yellow plumage,Male,Yellow,,,,,,
Blue Jay,United States,03-07-2002 16:55,A medium-sized bird with a blue plumage and a distinctive crest,Unknown,Blue,,,,,,
Northern Flicker,United States,31-08-2011 09:55,A medium-sized woodpecker with a brown plumage, a distinctive black crescent on its chest," and a loud ""wick-a-wick-a-wick"" call,Unknown,Brown and Black",Unknown,Brown and Black,,,,
Ruby-throated Hummingbird,United States,03-09-2010 12:10,A small hummingbird with a green plumage, a distinctive ruby-red throat,Male,Green and Ruby-red,,,,,
Downy Woodpecker,United States,06-05-2002 14:35,A small woodpecker with a black-and-white plumage and a small bill,Unknown,Black and White,,,,,,
American Robin,United States,09-08-2011 16:55,A medium-sized thrush with a grayish-brown plumage,Male,Grayish-brown,,,,,,
American Crow,United States,12-09-2010 09:55,"A medium-sized bird with a black plumage and a distinctive ""caw-caw"" call,Unknown,Black",Unknown,Black,,,,,,
American Goldfinch,United States,19-07-2002 12:30,A small finch with a bright yellow plumage,Male,Yellow,,,,,,
Blue Jay,United States,27-08-2011 14:35,A medium-sized bird with a blue plumage and a distinctive crest,Unknown,Blue,,,,,,
Northern Flicker,United States,18-09-2010 16:55,A medium-sized woodpecker with a brown plumage, a distinctive black crescent on its chest," and a loud ""wick-a-wick-a-wick"" call,Unknown,Brown and Black",Unknown,Brown and Black,,,,
Ruby-throated Hummingbird,United States,31-07-2002 09:55,A small hummingbird with a green plumage, a distinctive ruby-red throat,Male,Green and Ruby-red,,,,,
Downy Woodpecker,United States,10-08-2011 12:10,A small woodpecker with a black-and-white plumage and a small bill,Unknown,Black and White,,,,,,
American Robin,United States,22-09-2010 14:35,A medium-sized thrush with a grayish-brown plumage,Male,Grayish-brown,,,,,,
American Crow,United States,29-08-2002 16:55,"A medium-sized bird with a black plumage and a distinctive ""caw-caw"" call,Unknown,Black",Unknown,Black,,,,,,
American Goldfinch,United States,15-08-2011 09:55,A small finch with a bright yellow plumage,Male,Yellow,,,,,,
Blue Jay,United States,28-09-2010 12:30,A medium-sized bird with a blue plumage and a distinctive crest,Unknown,Blue,,,,,,
Northern Flicker,United States,06-07-2002 14:35,A medium-sized woodpecker with a brown plumage, a distinctive black crescent on its chest," and a loud ""wick-a-wick-a-wick"" call,Unknown,Brown and Black",Unknown,Brown and Black,,,,
Ruby-throated Hummingbird,United States,14-08-2011 16:55,A small hummingbird with a green plumage, a distinctive ruby-red throat,Male,Green and Ruby-red,,,,,
Downy Woodpecker,United States,17-09-2010 09:55,A small woodpecker with a black-and-white plumage and a small bill,Unknown,Black and White,,,,,,
American Robin,United States,21-07-2002 12:10,A medium-sized thrush with a grayish-brown plumage,Male,Grayish-brown,,,,,,
American Crow,United States,19-08-2011 14:35,"A medium-sized bird with a black plumage and a distinctive ""caw-caw"" call,Unknown,Black",Unknown,Black,,,,,,
American Goldfinch,United States,30-08-2010 16:55,A small finch with a bright yellow plumage,Male,Yellow,,,,,,
Blue Jay,United States,02-09-2002 09:55,A medium-sized bird with a blue plumage and a distinctive crest,Unknown,Blue,,,,,,
Northern Flicker,United States,29-08-2011 12:10,A medium-sized woodpecker with a brown plumage, a distinctive black crescent on its chest," and a loud ""wick-a-wick-a-wick"" call,Unknown,Brown and Black",Unknown,Brown and Black,,,,
Ruby-throated Hummingbird,United States,10-09-2010 14:35,A small hummingbird with a green plumage, a distinctive ruby-red throat,Male,Green and Ruby-red,,,,,
Downy Woodpecker,United States,14-07-2002 16:55,A small woodpecker with a black-and-white plumage and a small bill,Unknown,Black and White,,,,,,
American Robin,United States,19-08-2011 09:55,A medium-sized thrush with a grayish-brown plumage,Male,Grayish-brown,,,,,,
American Crow,United States,22-09-2010 12:30,"A medium-sized bird with a black plumage and a distinctive ""caw-caw"" call,Unknown,Black",Unknown,Black,,,,,,
American Goldfinch,United States,29-08-2002 14:35,A small finch with a bright yellow plumage,Male,Yellow,,,,,,
Blue Jay,United States,01-09-2011 16:55,A medium-sized bird with a blue plumage and a distinctive crest,Unknown,Blue,,,,,,
Northern Flicker,United States,03-09-2010 09:55,A medium-sized woodpecker with a brown plumage, a distinctive black crescent on its chest," and a loud ""wick-a-wick-a-wick"" call,Unknown,Brown and Black",Unknown,Brown and Black,,,,
Ruby-throated Hummingbird,United States,05-07-2002 12:10,A small hummingbird with a green plumage, a distinctive ruby-red throat,Male,Green and Ruby-red,,,,,
Downy Woodpecker,United States,06-08-2011 14:35,A small woodpecker with a black-and-white plumage and a small bill,Unknown,Black and White,,,,,,
American Robin,United States,09-09-2010 16:55,A medium-sized thrush with a grayish-brown plumage,Male,Grayish-brown,,,,,,
American Crow,United States,10-08-2002 09:55,"A medium-sized bird with a black plumage and a distinctive ""caw-caw"" call,Unknown,Black",Unknown,Black,,,,,,
American Goldfinch,United States,14-08-2011 12:30,A small finch with a bright yellow plumage,Male,Yellow,,,,,,
Blue Jay,United States,21-09-2010 14:35,A medium-sized bird with a blue plumage and a distinctive crest,Unknown,Blue,,,,,,
Northern Flicker,United States,23-07-2002 16:55,A medium-sized woodpecker with a brown plumage, a distinctive black crescent on its chest," and a loud ""wick-a-wick-a-wick"" call,Unknown,Brown and Black",Unknown,Brown and Black,,,,
Ruby-throated Hummingbird,United States,29-08-2011 09:55,A small hummingbird with a green plumage, a distinctive ruby-red throat,Male,Green and Ruby-red,,,,,
Downy Woodpecker,United States,01-08-2010 12:10,A small woodpecker with a black-and-white plumage and a small bill,Unknown,Black and White,,,,,,
American Robin,United States,07-07-2002 14:35,A medium-sized thrush with a grayish-brown plumage,Male,Grayish-brown,,,,,,
American Crow,United States,11-08-2011 16:55,"A medium-sized bird with a black plumage and a distinctive ""caw-caw"" call,Unknown,Black",Unknown,Black,,,,,,
American Goldfinch,United States,14-08-2010 09:55,A small finch with a bright yellow plumage,Male,Yellow,,,,,,
Blue Jay,United States,16-07-2002 12:30,A medium-sized bird with a blue plumage and a distinctive crest,Unknown,Blue,,,,,,
Northern Flicker,United States,19-08-2011 14:35,A medium-sized woodpecker with a brown plumage, a distinctive black crescent on its chest," and a loud ""wick-a-wick-a-wick"" call,Unknown,Brown and Black",Unknown,Brown and Black,,,,
Ruby-throated Hummingbird,United States,26-08-2010 16:55,A small hummingbird with a green plumage, a distinctive ruby-red throat,Male,Green and Ruby-red,,,,,
Downy Woodpecker,United States,30-07-2002 09:55,A small woodpecker with a black-and-white plumage and a small bill,Unknown,Black and White,,,,,,
American Robin,United States,31-08-2011 12:10,A medium-sized thrush with a grayish-brown plumage,Male,Grayish-brown,,,,,,
American Crow,United States,03-08-2010 14:35,"A medium-sized bird with a black plumage and a distinctive ""caw-caw"" call,Unknown,Black",Unknown,Black,,,,,,
American Goldfinch,United States,10-08-2002 16:55,A small finch with a bright yellow plumage,Male,Yellow,,,,,,
Blue Jay,United States,14-08-2011 09:55,A medium-sized bird with a blue plumage and a distinctive crest,Unknown,Blue,,,,,,
Northern Flicker,United States,21-08-2010 12:30,A medium-sized woodpecker with a brown plumage, a distinctive black crescent on its chest," and a loud ""wick-a-wick-a-wick"" call,Unknown,Brown and Black",Unknown,Brown and Black,,,,
Ruby-throated Hummingbird,United States,01-09-2002 14:35,A small hummingbird with a green plumage, a distinctive ruby-red throat,Male,Green and Ruby-red,,,,,
Downy Woodpecker,United States,27-08-2011 16:55,A small woodpecker with a black-and-white plumage and a small bill,Unknown,Black and White,,,,,,
American Robin,United States,30-08-2010 09:55,A medium-sized thrush with a grayish-brown plumage,Male,Grayish-brown,,,,,,
American Crow,United States,05-07-2002 12:10,"A medium-sized bird with a black plumage and a distinctive ""caw-caw"" call,Unknown,Black",Unknown,Black,,,,,,
American Goldfinch,United States,11-08-2011 14:35,A small finch with a bright yellow plumage,Male,Yellow,,,,,,
Blue Jay,United States,14-08-2010 16:55,A medium-sized bird with a blue plumage and a distinctive crest,Unknown,Blue,,,,,,
Northern Flicker,United States,17-07-2002 09:55,A medium-sized woodpecker with a brown plumage, a distinctive black crescent on its chest," and a loud ""wick-a-wick-a-wick"" call,Unknown,Brown and Black",Unknown,Brown and Black,,,,
Ruby-throated Hummingbird,United States,20-08-2011 12:10,A small hummingbird with a green plumage, a distinctive ruby-red throat,Male,Green and Ruby-red,,,,,
Downy Woodpecker,United States,23-08-2010 14:35,A small woodpecker with a black-and-white plumage and a small bill,Unknown,Black and White,,,,,,
American Robin,United States,26-07-2002 16:55,A medium-sized thrush with a grayish-brown plumage,Male,Grayish-brown,,,,,,
American Crow,United States,29-08-2011 09:55,"A medium-sized bird with a black plumage and a distinctive ""caw-caw"" call,Unknown,Black",Unknown,Black,,,,,,
American Goldfinch,United States,31-08-2010 12:30,A small finch with a bright yellow plumage,Male,Yellow,,,,,,
Blue Jay,United States,07-08-2002 14:35,A medium-sized bird with a blue plumage and a distinctive crest,Unknown,Blue,,,,,,
Northern Flicker,United States,12-08-2011 16:55,A medium-sized woodpecker with a brown plumage, a distinctive black crescent on its chest," and a loud ""wick-a-wick-a-wick"" call,Unknown,Brown and Black",Unknown,Brown and Black,,,,
Ruby-throated Hummingbird,United States,15-08-2010 09:55,A small hummingbird with a green plumage, a distinctive ruby-red throat,Male,Green and Ruby-red,,,,,
Downy Woodpecker,United States,25-08-2002 12:10,A small woodpecker with a black-and-white plumage and a small bill,Unknown,Black and White,,,,,,
American Robin,United States,18-08-2011 14:35,A medium-sized thrush with a grayish-brown plumage,Male,Grayish-brown,,,,,,
American Crow,United States,26-08-2010 16:55,"A medium-sized bird with a black plumage and a distinctive ""caw-caw"" call,Unknown,Black",Unknown,Black,,,,,,
American Goldfinch,United States,06-09-2002 09:55,A small finch with a bright yellow plumage,Male,Yellow,,,,,,
Blue Jay,United States,21-08-2011 12:30,A medium-sized bird with a blue plumage and a distinctive crest,Unknown,Blue,,,,,,
Northern Flicker,United States,28-08-2010 14:35,A medium-sized woodpecker with a brown plumage, a distinctive black crescent on its chest," and a loud ""wick-a-wick-a-wick"" call,Unknown,Brown and Black",Unknown,Brown and Black,,,,
Ruby-throated Hummingbird,United States,09-09-2002 16:55,A small hummingbird with a green plumage, a distinctive ruby-red throat,Male,Green and Ruby-red,,,,,
Downy Woodpecker,United States,14-08-2011 09:55,A small woodpecker with a black-and-white plumage and a small bill,Unknown,Black and White,,,,,,
American Robin,United States,16-08-2010 12:10,A medium-sized thrush with a grayish-brown plumage,Male,Grayish-brown,,,,,,
American Crow,United States,22-09-2002 14:35,"A medium-sized bird with a black plumage and a distinctive ""caw-caw"" call,Unknown,Black",Unknown,Black,,,,,,
American Goldfinch,United States,19-08-2011 16:55,A small finch with a bright yellow plumage,Male,Yellow,,,,,,
Blue Jay,United States,18-08-2010 09:55,A medium-sized bird with a blue plumage and a distinctive crest,Unknown,Blue,,,,,,
Northern Flicker,United States,30-09-2002 12:30,A medium-sized woodpecker with a brown plumage, a distinctive black crescent on its chest," and a loud ""wick-a-wick-a-wick"" call,Unknown,Brown and Black",Unknown,Brown and Black,,,,
Ruby-throated Hummingbird,United States,23-08-2011 14:35,A small hummingbird with a green plumage, a distinctive ruby-red throat,Male,Green and Ruby-red,,,,,
Downy Woodpecker,United States,26-08-2010 16:55,A small woodpecker with a black-and-white plumage and a small bill,Unknown,Black and White,,,,,,
American Robin,United States,08-09-2002 09:55,A medium-sized thrush with a grayish-brown plumage,Male,Grayish-brown,,,,,,
American Crow,United States,29-08-2011 12:10,"A medium-sized bird with a black plumage and a distinctive ""caw-caw"" call,Unknown,Black",Unknown,Black,,,,,,
American Goldfinch,United States,31-08-2010 14:35,A small finch with a bright yellow plumage,Male,Yellow,,,,,,
Blue Jay,United States,14-09-2002 16:55,A medium-sized bird with a blue plumage and a distinctive crest,Unknown,Blue,,,,,,
Barn Owl,United States,10-05-2008 06:45,A medium-sized owl with a heart-shaped face and pale plumage,Unknown,White and Brown,,,,,,
Roseate Spoonbill,United States,17-06-2009 09:20,A large wading bird with a pink plumage and a distinctive spoon-shaped bill,Unknown,Pink,,,,,,
Purple Gallinule,United States,05-07-2012 14:10,A medium-sized bird with a vibrant purple and blue plumage,Unknown,Purple and Blue,,,,,,
Belted Kingfisher,United States,23-09-2004 08:35,A medium-sized bird with a blue-gray plumage and a shaggy crest,Unknown,Blue-gray,,,,,,
Hooded Merganser,United States,14-02-2011 16:15,A small diving duck with a black and white plumage and a distinctive fan-shaped crest,Male,Black and White,,,,,,
Green Heron,United States,30-08-2006 11:55,A small heron with a greenish-gray plumage and a long, slender neck,Unknown,Greenish-gray,,,,,
Sandhill Crane,United States,12-03-2009 14:40,A large wading bird with a gray plumage, a red crown, and a distinctive loud call,Unknown,Gray,,,,
Northern Gannet,United States,19-05-2007 09:30,A large seabird with a white plumage, black wingtips, and a pointed bill,Unknown,White and Black,,,,
American Avocet,United States,27-07-2010 16:50,A medium-sized wading bird with a white and black plumage and a long, thin bill,Unknown,White and Black,,,,,
Cattle Egret,United States,05-09-2003 12:20,A small egret with a white plumage and a yellow bill,Unknown,White,,,,,,
Wilson's Plover,United States,08-06-2008 14:15,A small shorebird with a brown and white plumage,Unknown,Brown and White,,,,,,
Black-bellied Plover,United States,10-09-2005 08:40,A medium-sized shorebird with a black and white plumage and a distinctive black belly patch,Unknown,Black and White,,,,,,
Peregrine Falcon,United States,17-03-2012 16:25,A medium-sized falcon with a blue-gray back, a white underside, and powerful wings,Unknown,Blue-gray and White,,,,
Bald Eagle,United States,24-11-2004 11:50,A large bird of prey with a brown body, a white head, and a hooked yellow bill,Unknown,Brown and White,,,,
American White Pelican,United States,31-05-2009 14:05,A large water bird with a white plumage, a massive bill, and a distinctive throat pouch,Unknown,White,,,,
American Bittern,United States,11-08-2006 16:30,A medium-sized heron-like bird with a brown and white streaked plumage,Unknown,Brown and White,,,,,,
Little Blue Heron,United States,20-04-2011 09:10,A medium-sized heron with a blue-gray plumage and a slender, curved bill,Unknown,Blue-gray,,,,,
Burrowing Owl,United States,18-09-2003 12:40,A small owl with a brown and white spotted plumage and long legs,Unknown,Brown and White,,,,,,
Northern Harrier,United States,26-06-2008 14:20,A medium-sized hawk with a brown plumage, a white rump, and a distinctive owl-like face,Unknown,Brown and White,,,,
Snowy Egret,United States,01-07-2005 08:45,A small egret with a white plumage, black legs, and a slender black bill,Unknown,White and Black,,,,
Eastern Screech Owl,United States,09-02-2012 16:55,A small owl with a gray or reddish-brown plumage and distinctive ear tufts,Unknown,Gray or Reddish-brown,,,,,,
Clapper Rail,United States,13-10-2004 11:25,A medium-sized rail bird with a mottled brown plumage and a long, downward-curved bill,Unknown,Brown,,,,,
Common Loon,United States,15-05-2009 14:50,A large diving bird with a black and white checkered back and a distinctive call,Unknown,Black and White,,,,,,
Red-throated Loon,United States,03-08-2006 09:15,A medium-sized diving bird with a gray plumage, a reddish throat, and a slender bill,Unknown,Gray and Red,,,,
Marbled Godwit,United States,05-04-2011 12:35,A large shorebird with a brown and buff-colored plumage, a long, upturned bill, and a barred tail,Unknown,Brown and Buff,,,
Short-billed Dowitcher,United States,22-09-2003 14:00,A medium-sized shorebird with a brown and white plumage, a long, straight bill, and a distinctive whistling call,Unknown,Brown and White,,,
Semipalmated Sandpiper,United States,30-06-2008 16:20,A small sandpiper with a gray and white plumage, a short, straight bill, and partially webbed feet,Unknown,Gray and White,,,
Least Sandpiper,United States,09-07-2005 09:40,A small sandpiper with a brown and white plumage, a short, slightly curved bill, and yellowish legs,Unknown,Brown and White,,,
Wilson's Snipe,United States,15-02-2012 12:10,A medium-sized shorebird with a mottled brown plumage, a long bill, and a drumming sound produced during courtship,Unknown,Brown,,,,
Laughing Gull,United States,25-10-2004 14:35,A medium-sized gull with a gray back, a white head, and a distinctive loud, laughing call,Unknown,Gray and White,,,
Ring-billed Gull,United States,25-05-2009 16:50,A medium-sized gull with a white plumage, a gray back, and a black ring around its yellow bill,Unknown,White and Gray,,,,
Herring Gull,United States,10-08-2006 09:30,A large gull with a gray back, a white head, and a yellow bill with a red spot,Unknown,Gray and White,,,,
Caspian Tern,United States,28-03-2011 11:55,A large tern with a white plumage, a black cap, and a distinctive red bill,Unknown,White and Black,,,,
Least Tern,United States,08-09-2003 14:20,A small tern with a white plumage, a black cap, and a yellow bill,Unknown,White and Black,,,,
Common Tern,United States,18-05-2008 16:45,A medium-sized tern with a white plumage, a black cap, and a red bill,Unknown,White and Black,,,,
Forster's Tern,United States,25-06-2009 09:10,A medium-sized tern with a white plumage, a black cap, and a distinctive forked tail,Unknown,White and Black,,,,
Black Skimmer,United States,17-07-2012 12:40,A medium-sized tern with a black back, a white underside, and a distinctive red and black bill,Unknown,Black and White,,,,
Rock Pigeon,United States,01-09-2004 14:05,A medium-sized pigeon with a gray plumage, a white rump, and iridescent feathers on the neck,Unknown,Gray,,,,
Eurasian Collared-Dove,United States,07-02-2011 16:30,A medium-sized dove with a grayish-brown plumage, a distinctive black collar, and a long, tapered tail,Unknown,Grayish-brown,,,
White-winged Dove,United States,14-08-2006 09:55,A medium-sized dove with a gray-brown plumage, a white wing patch, and a long, pointed tail,Unknown,Gray-brown,,,
Mourning Dove,United States,25-03-2009 12:20,A medium-sized dove with a gray-brown plumage, a slender bill, and a mournful cooing call,Unknown,Gray-brown,,,,
Eastern Whip-poor-will,United States,10-11-2004 14:40,"A medium-sized nocturnal bird with a mottled brown plumage and a distinctive ""whip-poor-will"" call,Unknown,Brown",Unknown,Brown,,,,,,
Chimney Swift,United States,25-06-2011 16:15,A small swift with a dark brown plumage, a slender body, and rapid, erratic flight,Unknown,Dark Brown,,,
Ruby-throated Hummingbird,United States,01-08-2003 09:55,A small hummingbird with a green plumage, a distinctive ruby-red throat, and wings that beat rapidly,Unknown,Green and Ruby-red,,,,
Belted Kingfisher,United States,15-04-2008 12:30,A medium-sized bird with a blue-gray plumage, a shaggy crest, and a loud rattling call,Unknown,Blue-gray,,,,
Red-headed Woodpecker,United States,05-06-2005 14:35,A medium-sized woodpecker with a black back, a white belly, and a distinctive red head,Unknown,Black, White, and Red,,
Red-bellied Woodpecker,United States,20-01-2012 09:55,A medium-sized woodpecker with a black and white striped back, a red cap," and a distinctive ""churr"" call,Unknown,Black, White, and Red",Unknown,Black, White, and Red,,
Yellow-bellied Sapsucker,United States,05-09-2004 12:10,A medium-sized woodpecker with a black and white plumage, a red cap, and a yellow belly,Unknown,Black, White, and Red,,
Downy Woodpecker,United States,05-06-2011 14:35,A small woodpecker with a black and white plumage, a small bill, and a drumming call,Unknown,Black and White,,,,
Hairy Woodpecker,United States,05-08-2006 16:55,A medium-sized woodpecker with a black and white plumage, a longer bill than the Downy Woodpecker," and a distinctive ""peek"" call,Unknown,Black and White",Unknown,Black and White,,,,
Northern Flicker,United States,25-03-2009 09:55,A medium-sized woodpecker with a brown plumage, a black crescent on its chest," and a loud ""wick-a-wick-a-wick"" call,Unknown,Brown and Black",Unknown,Brown and Black,,,,
Pileated Woodpecker,United States,05-11-2004 12:10,A large woodpecker with a black body, a red crest," and a distinctive ""kuk-kuk-kuk-kuk"" call,Unknown,Black and Red",Unknown,Black and Red,,,,
American Kestrel,United States,12-01-2011 14:35,A small falcon with a reddish-brown back, a white underside, and a distinctive hovering flight,Unknown,Reddish-brown and White,,,,
Merlin,United States,21-07-2006 16:55,A small falcon with a dark gray back, a white underside, and rapid flight,Unknown,Dark Gray and White,,,,
Peregrine Falcon,United States,05-02-2009 09:55,A medium-sized falcon with a blue-gray back, a white underside, and powerful wings,Unknown,Blue-gray and White,,,,
Roseate Spoonbill,United States,13-10-2004 12:10,A large wading bird with a pink plumage, a distinctive spoon-shaped bill, and a slow, graceful flight,Unknown,Pink,,,
Great Blue Heron,United States,08-05-2011 14:35,A large heron with a blue-gray plumage, a long neck, and a slow, deliberate flight,Unknown,Blue-gray,,,
Great Egret,United States,23-06-2006 16:55,A large egret with a white plumage, a long neck, and a distinctive S-shaped flight pattern,Unknown,White,,,,
Snowy Egret,United States,28-02-2009 09:55,A small egret with a white plumage, black legs, and a slender black bill,Unknown,White and Black,,,,
Little Blue Heron,United States,09-10-2004 12:10,A medium-sized heron with a blue-gray plumage, a slender bill, and a slow, stalking movement,Unknown,Blue-gray,,,
Tricolored Heron,United States,12-04-2011 14:35,A medium-sized heron with a blue-gray back, a white belly, and a distinctive three-colored plumage,Unknown,Blue-gray, White, and Rusty,,
Reddish Egret,United States,15-06-2006 16:55,A medium-sized heron with a mottled gray plumage, a shaggy crest, and a distinctive dancing-like foraging behavior,Unknown,Gray,,,,
Green Heron,United States,01-01-2009 09:55,A small heron with a greenish-gray plumage, a long, slender neck, and a secretive nature,Unknown,Greenish-gray,,,
Black-crowned Night-Heron,United States,05-09-2004 12:10,A medium-sized heron with a black cap, a gray body," and a distinctive ""quok"" call,Unknown,Black and Gray",Unknown,Black and Gray,,,,
Glossy Ibis,United States,06-05-2011 14:35,A medium-sized wading bird with a dark brown plumage, a long, curved bill, and a metallic sheen,Unknown,Dark Brown,,,
White-faced Ibis,United States,01-06-2006 16:55,A medium-sized wading bird with a chestnut plumage, a white face, and a downward-curved bill,Unknown,Chestnut and White,,,,
Black Vulture,United States,20-01-2009 09:55,A large vulture with a black plumage, a bald head, and a scavenging nature,Unknown,Black,,,,
Turkey Vulture,United States,09-09-2004 12:10,A large vulture with a blackish-brown plumage, a red head, and a soaring flight,Unknown,Blackish-brown and Red,,,,
Osprey,United States,10-04-2011 14:35,A large bird of prey with a brown and white plumage," a distinctive ""cheer-cheer"" call, and a hovering flight,Unknown,Brown and White", and a hovering flight,Unknown,Brown and White,,,,
Bald Eagle,United States,25-06-2006 16:55,A large bird of prey with a brown body, a white head, a hooked yellow bill, and a soaring flight,Unknown,Brown and White,,,
Northern Harrier,United States,15-01-2009 09:55,A medium-sized hawk with a brown plumage, a white rump, a distinctive owl-like face, and a low-flying, hovering flight,Unknown,Brown and White,,
Sharp-shinned Hawk,United States,17-09-2004 12:10,A small hawk with a gray-blue back, a rusty-red barred belly, and a rapid, agile flight,Unknown,Gray-blue and Rusty-red,,,
Cooper's Hawk,United States,05-04-2011 14:35,A medium-sized hawk with a bluish-gray back, a rusty-red barred belly, and a distinctive rounded tail,Unknown,Bluish-gray and Rusty-red,,,,
Red-tailed Hawk,United States,07-06-2006 16:55,A large hawk with a brown back, a red tail, and a soaring flight,Unknown,Brown and Red,,,,
Rough-legged Hawk,United States,29-01-2009 09:55,A medium-sized hawk with a mottled brown plumage, a white belly, and feathered legs,Unknown,Brown and White,,,,
Common Gallinule,United States,28-09-2004 12:10,A medium-sized bird with a dark plumage, a red bill, and a distinctive loud, cackling call,Unknown,Dark and Red,,,
American Coot,United States,02-03-2011 14:35,A medium-sized water bird with a black plumage, a distinctive white bill, and lobed toes,Unknown,Black and White,,,,
Sandhill Crane,United States,16-05-2006 16:55,A large wading bird with a gray plumage, a red crown, and a loud, trumpeting call,Unknown,Gray and Red,,,
Black-bellied Plover,United States,10-01-2009 09:55,A medium-sized shorebird with a black and white plumage, a distinctive black belly patch, and a high-pitched whistle,Unknown,Black and White,,,,
American Avocet,United States,19-09-2004 12:10,A medium-sized wading bird with a white and black plumage, a long, thin bill," and a distinctive ""kleet-kleet-kleet"" call,Unknown,White and Black",Unknown,White and Black,,,
Black-necked Stilt,United States,14-02-2011 14:35,A tall wading bird with a black and white plumage, long pink legs, and a distinctive upward-curved bill,Unknown,Black, White, and Pink,,
Spotted Sandpiper,United States,25-05-2006 16:55,A small sandpiper with a brown and white spotted plumage, a distinctive teetering motion, and a whistling call,Unknown,Brown and White,,,,
Solitary Sandpiper,United States,28-01-2009 09:55,A small sandpiper with a brown and white spotted plumage," a distinctive ""weet-weet"" call, and a solitary nature,Unknown,Brown and White", and a solitary nature,Unknown,Brown and White,,,,
Willet,United States,05-09-2004 12:10,A large shorebird with a gray and white plumage, a long, straight bill, and a loud, piercing call,Unknown,Gray and White,,
Greater Yellowlegs,United States,23-01-2011 14:35,A large sandpiper with a mottled brown plumage, a long, slender bill, and a loud, clear call,Unknown,Brown,,
Lesser Yellowlegs,United States,15-05-2006 16:55,A medium-sized sandpiper with a mottled brown plumage, a long, straight bill," and a distinctive ""tu-tu-tu"" call,Unknown,Brown",Unknown,Brown,,,
Upland Sandpiper,United States,30-01-2009 09:55,A medium-sized shorebird with a mottled brown plumage, a long, slender neck," and a distinctive ""wolf whistle"" call,Unknown,Brown",Unknown,Brown,,,
Wilson's Phalarope,United States,29-09-2004 12:10,A small sandpiper with a gray and white plumage, a long, thin bill, and a distinctive spinning feeding behavior,Unknown,Gray and White,,,
Red-necked Phalarope,United States,18-02-2011 14:35,A small sandpiper with a gray and white plumage, a red neck and throat, and a distinctive spinning feeding behavior,Unknown,Gray, White, and Red,,
